estado,eleitores,secoes,abs1,abs2,brancos,nulos,validos,ano2014,partido,turno,porcentagem,faixaetariaate25,faixaate34,faixamais25
DF,1895697,6452,"11,67","12,64","2,3","3,68","94,03",esquerda,PSB,2,"55,56","16,3","41,41","83,7"
AP,455368,1461,"10,44","14,56","1,24","3,3","95,46",esquerda,PDT,2,"60,58","23,67","51,72","76,33"
RR,299411,1059,"12,43","16,4","1,43","3,38","95,19",direita,PP,2,"54,85","22,06","48,86","77,94"
PB,2834782,9523,"17,65","17,14","4,08","6,06","89,86",esquerda,PSB,2,"52,61","17,74","41,87","82,26"
RN,2326583,6961,"16,83","17,66","4,39","9,61","85,99",direita,PSD,2,"54,42","17,2","41,73","82,8"
RS,8385229,26437,"16,8","18,19","4,5","4,24","91,26",direita,PMDB,2,"61,21","13,74","34,8","86,26"
GO,4329834,13145,"18,83","21,53","3,31","4,88","91,81",direita,PSDB,2,"57,44","15,99","39,72","84,01"
CE,6268909,19921,"20,12","21,75","3,17","6,57","90,27",esquerda,PT,2,"53,35","18,61","42,89","81,39"
AC,506520,1636,"17,32","22,15","1,04","3,71","95,25",esquerda,PT,2,"51,29","21,87","48,26","78,13"
RJ,12134443,32675,"20,11","22,36","4,82","9,15","86,04",direita,PMDB,2,"55,78","13,51","34,3","86,49"
AM,2225630,6528,"19,49","22,62","2,01","4,35","93,64",direita,PROS,2,"55,54","20,14","46,96","79,86"
MS,1817511,5564,"20,53","23,13","2,78","3,66","93,57",direita,PSDB,2,"55,34","16,44","39,83","83,56"
RO,1126502,3629,"21,36","24,35","2,33","4,25","93,43",direita,PMDB,2,"53,43","18,39","43,51","81,61"
PA,5185950,15999,"21,1","25,22","2,08","4,14","93,79",direita,PSDB,2,"51,92","19,68","45,75","80,32"
SE,1453601,4760,"14,7",,"4,36","7,31","88,33",direita,PMDB,1,"53,52","18,28","43,92","81,72"
SC,4855732,14593,"16,41",,"3,71","4,93","91,35",direita,PSD,1,"51,36","15,11","37,87","84,89"
PE,6353859,18791,"16,52",,"4,14","5,2","90,66",esquerda,PSB,1,"53,35","17,12","41,06","82,88"
PR,7861171,25090,"16,85",,"3,39","3,86","92,75",direita,PSDB,1,"51,92","15,45","37,46","84,55"
PI,2344476,7937,"18,9",,"1,96","6,03",92,esquerda,PT,1,"63,08","18,6","43,34","81,4"
ES,2651621,7944,"18,91",,"3,79","4,44","91,77",direita,PMDB,1,"53,44","14,63","38,4","85,37"
AL,1995153,6111,"19,18",,"4,44","8,18","87,38",direita,PMDB,1,"52,16","19,2","44,5","80,8"
SP,31979717,88753,"19,52",,"4,87","5,93","89,21",direita,PSDB,1,"57,31","14,11","36,71","85,89"
TO,996376,3514,"19,6",,"1,78","6,68","91,53",direita,PMDB,1,"51,3","19,42","44,4","80,58"
MG,15263578,45762,"20,02",,"3,83","5,02","91,14",esquerda,PT,1,"52,98","14,9","37,28","85,1"
MT,2188283,6748,"22,91",,"2,7","4,89","92,41",esquerda,PDT,1,"57,25","16,69","41,17","83,31"
BA,10179390,31268,"23,19",,"3,23","7,42","89,35",esquerda,PT,1,"54,53","16,07","41,09","83,83"
MA,4495864,15463,"23,63",,"2,24","6,17","91,59",esquerda,PcdoB,1,"63,52","19,72","45,69","80,28"
